symbol,close,date
GS,167.440002,2014-06-30
GS,166.809998,2014-07-01
GS,166.889999,2014-07-02
GS,169.46000700000002,2014-07-03
GS,167.779999,2014-07-07
GS,164.91000400000001,2014-07-08
GS,164.669998,2014-07-09
GS,163.419998,2014-07-10
GS,164.800003,2014-07-11
GS,167.0,2014-07-14
GS,169.169998,2014-07-15
GS,170.470001,2014-07-16
GS,170.139999,2014-07-17
GS,171.470001,2014-07-18
GS,171.720001,2014-07-21
GS,175.020004,2014-07-22
GS,176.820007,2014-07-23
GS,176.259995,2014-07-24
GS,175.399994,2014-07-25
GS,175.949997,2014-07-28
GS,175.53999299999998,2014-07-29
GS,175.759995,2014-07-30
GS,172.869995,2014-07-31
GS,170.25,2014-08-01
GS,171.690002,2014-08-04
GS,169.419998,2014-08-05
GS,169.740005,2014-08-06
GS,169.100006,2014-08-07
GS,172.259995,2014-08-08
GS,172.46000700000002,2014-08-11
GS,172.330002,2014-08-12
GS,172.369995,2014-08-13
GS,172.729996,2014-08-14
GS,171.899994,2014-08-15
GS,174.550003,2014-08-18
GS,173.96000700000002,2014-08-19
GS,174.029999,2014-08-20
GS,175.149994,2014-08-21
GS,175.470001,2014-08-22
GS,177.869995,2014-08-25
GS,177.899994,2014-08-26
GS,177.809998,2014-08-27
GS,177.649994,2014-08-28
GS,179.110001,2014-08-29
GS,179.770004,2014-09-02
GS,179.600006,2014-09-03
GS,180.080002,2014-09-04
GS,179.75,2014-09-05
GS,180.110001,2014-09-08
GS,177.399994,2014-09-09
GS,179.869995,2014-09-10
GS,181.0,2014-09-11
GS,183.169998,2014-09-12
GS,183.979996,2014-09-15
GS,184.03999299999998,2014-09-16
GS,184.820007,2014-09-17
GS,187.889999,2014-09-18
GS,186.199997,2014-09-19
GS,185.28999299999998,2014-09-22
GS,185.08999599999999,2014-09-23
GS,187.809998,2014-09-24
GS,184.08999599999999,2014-09-25
GS,185.119995,2014-09-26
GS,183.830002,2014-09-29
GS,183.570007,2014-09-30
GS,180.699997,2014-10-01
GS,182.880005,2014-10-02
GS,188.070007,2014-10-03
GS,187.479996,2014-10-06
GS,183.800003,2014-10-07
GS,186.639999,2014-10-08
GS,181.270004,2014-10-09
GS,180.380005,2014-10-10
GS,178.770004,2014-10-13
GS,178.699997,2014-10-14
GS,177.240005,2014-10-15
GS,172.580002,2014-10-16
GS,176.91000400000001,2014-10-17
GS,177.83999599999999,2014-10-20
GS,180.179993,2014-10-21
GS,176.830002,2014-10-22
GS,180.059998,2014-10-23
GS,183.350006,2014-10-24
GS,183.91000400000001,2014-10-27
GS,186.320007,2014-10-28
GS,186.080002,2014-10-29
GS,186.970001,2014-10-30
GS,189.990005,2014-10-31
GS,190.830002,2014-11-03
GS,190.270004,2014-11-04
GS,189.83999599999999,2014-11-05
GS,191.0,2014-11-06
GS,190.71000700000002,2014-11-07
GS,191.800003,2014-11-10
GS,191.880005,2014-11-11
GS,190.179993,2014-11-12
GS,190.240005,2014-11-13
GS,189.979996,2014-11-14
GS,189.929993,2014-11-17
GS,189.639999,2014-11-18
GS,189.190002,2014-11-19
GS,189.75,2014-11-20
GS,189.58999599999999,2014-11-21
GS,190.070007,2014-11-24
GS,188.860001,2014-11-25
GS,188.520004,2014-11-26
GS,188.41000400000001,2014-11-28
GS,188.199997,2014-12-01
GS,190.190002,2014-12-02
GS,190.949997,2014-12-03
GS,191.949997,2014-12-04
GS,195.449997,2014-12-05
GS,196.619995,2014-12-08
GS,196.889999,2014-12-09
GS,192.0,2014-12-10
GS,193.53999299999998,2014-12-11
GS,188.820007,2014-12-12
GS,185.53999299999998,2014-12-15
GS,183.309998,2014-12-16
GS,185.029999,2014-12-17
GS,191.610001,2014-12-18
GS,193.279999,2014-12-19
GS,194.440002,2014-12-22
GS,195.5,2014-12-23
GS,195.889999,2014-12-24
GS,195.449997,2014-12-26
GS,196.190002,2014-12-29
GS,195.71000700000002,2014-12-30
GS,193.830002,2014-12-31
GS,194.41000400000001,2015-01-02
GS,188.33999599999999,2015-01-05
GS,184.529999,2015-01-06
GS,187.279999,2015-01-07
GS,190.270004,2015-01-08
GS,187.350006,2015-01-09
GS,185.070007,2015-01-12
GS,184.929993,2015-01-13
GS,180.229996,2015-01-14
GS,178.490005,2015-01-15
GS,177.229996,2015-01-16
GS,175.630005,2015-01-20
GS,177.149994,2015-01-21
GS,182.03999299999998,2015-01-22
GS,180.490005,2015-01-23
GS,180.419998,2015-01-26
GS,176.490005,2015-01-27
GS,173.050003,2015-01-28
GS,175.990005,2015-01-29
GS,172.41000400000001,2015-01-30
GS,175.490005,2015-02-02
